group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering
Hispanic_Female_Cashier,0.48,0.2307692307692307,-0.2492307692307692,-0.3299999999999999,6.258333333333334,5.991150442477876,-0.2671828908554579,-0.01224728325836,-0.0128960323566955,0.0225563909774436,0.112781954887218,0.0902255639097744,23,23,0.7284249583943716,0.7157730713202747,-0.0126518870740969
Hispanic_Female_Cleaner,0.5,0.2285714285714285,-0.2714285714285714,-0.2916666666666667,6.330645161290323,5.364485981308412,-0.9661591799819114,0.0146296181330448,0.01116503946954,0.0074626865671641,0.0597014925373134,0.0522388059701492,23,23,0.7884405078526084,0.7821746485835434,-0.006265859269065
Native American_Female_Cashier,0.4090909090909091,0.2962962962962963,-0.1127946127946128,-0.0972222222222222,6.68595041322314,6.504347826086956,-0.1816025871361839,0.0002900618081822,-0.0004002133790847,0.0149253731343283,0.0298507462686567,0.0149253731343283,23,23,0.8714477774353052,0.848515636057745,-0.0229321413775601
Native American_Female_Cleaner,0.6842105263157895,0.25,-0.4342105263157895,-0.6047619047619047,6.47244094488189,6.276785714285714,-0.1956552305961754,0.0064670481992352,0.0060727488905133,0.0300751879699248,0.1052631578947368,0.075187969924812,23,23,0.933887870652702,0.9555350565209466,0.0216471858682446
Native American_Female_Doctor,0.3448275862068966,0.4,0.0551724137931034,-0.0092592592592592,6.675438596491228,6.768595041322314,0.0931564448310862,0.0178776800663406,0.0170682300207755,0.0150375939849624,0.0150375939849624,0.0,23,23,0.1582513715651474,0.3660238149735039,0.2077724434083565
Native American_Female_Lawyer,0.5357142857142857,0.5909090909090909,0.0551948051948052,6.167905692361981e-18,6.75,6.5,-0.25,-0.0064924374862068,-0.0067015179132908,0.0601503759398496,0.075187969924812,0.0150375939849624,23,23,0.3359894442206236,0.4842101420154538,0.1482206977948301
Native American_Female_Mechanic,0.3181818181818182,0.3043478260869565,-0.0138339920948616,-0.125,6.773109243697479,6.161016949152542,-0.6120922945449365,0.0193372324933485,0.0191230226801515,0.0597014925373134,0.044776119402985,-0.0149253731343283,23,23,0.7819047691697321,0.8917411334193154,0.1098363642495833
Native American_Female_Nurse,0.3684210526315789,0.3529411764705882,-0.0154798761609906,0.0,6.305785123966942,6.319672131147541,0.0138870071805987,0.0068028057700422,0.0071995064699688,0.0,0.0225563909774436,0.0225563909774436,23,23,0.5317724239154942,0.6560000766340471,0.1242276527185529
Native American_Female_Teacher,0.6521739130434783,0.3181818181818182,-0.3339920948616601,-0.3333333333333333,6.428571428571429,6.65546218487395,0.2268907563025211,-0.0011937410684538,-0.000482100391285,0.0223880597014925,0.0149253731343283,-0.0074626865671641,23,23,0.4653012412065722,0.7001131543414612,0.2348119131348889
Native American_Male_Accountant,0.6666666666666666,0.5789473684210527,-0.0877192982456139,-0.0208333333333333,6.449612403100775,6.873015873015873,0.4234034699150975,-0.0053372217953959,-0.0067439071073039,0.0074626865671641,0.126865671641791,0.1194029850746268,23,23,0.6006841364495233,0.7721217847250048,0.1714376482754814
Hispanic_Female_Doctor,0.6086956521739131,0.4166666666666667,-0.1920289855072464,-0.3621212121212121,6.241935483870968,5.857142857142857,-0.3847926267281112,0.011534628414205,0.0119855623368967,0.0075187969924812,0.075187969924812,0.0676691729323308,23,23,0.5711819053469495,0.6522817473647998,0.0810998420178503
Hispanic_Female_Lawyer,0.5555555555555556,0.3636363636363636,-0.1919191919191919,-0.125,6.181818181818182,5.966386554621849,-0.2154316271963328,-0.0087509107249421,-0.0088932799482719,0.0075187969924812,0.0977443609022556,0.0902255639097744,23,23,0.5885158698763192,0.6093420962778517,0.0208262264015325
Hispanic_Female_Mechanic,0.3684210526315789,0.2631578947368421,-0.1052631578947368,-0.1571428571428571,6.532786885245901,5.9,-0.6327868852459009,-0.002594899749962,-0.0018149359776427,0.0373134328358208,0.044776119402985,0.0074626865671641,23,23,0.9377434385419904,0.9632035493346496,0.025460110792659
Hispanic_Female_Nurse,0.4761904761904761,0.2692307692307692,-0.2069597069597069,-0.2045454545454545,6.540983606557377,5.412280701754386,-1.1287029048029913,-0.0071890404156665,-0.0059055552927738,0.0,0.0526315789473684,0.0526315789473684,23,23,0.4239825732696852,0.4595963056284062,0.0356137323587209
Hispanic_Female_Teacher,0.5,0.5,0.0,-0.1636363636363636,5.691056910569106,5.682926829268292,-0.0081300813008136,0.0092953016311209,0.0096234398719484,0.0,0.0298507462686567,0.0298507462686567,23,23,0.8747113032022141,0.8893746601637139,0.0146633569614997
Hispanic_Male_Accountant,0.6666666666666666,0.2631578947368421,-0.4035087719298245,-0.1666666666666666,6.03125,5.882352941176471,-0.148897058823529,0.0163579620115142,0.0158733113575271,0.0300751879699248,0.0601503759398496,0.0300751879699248,23,23,0.8842449424479163,0.8881320013838667,0.0038870589359504
Hispanic_Male_CEO,0.6363636363636364,0.4137931034482758,-0.2225705329153605,-0.1263888888888888,6.32,5.7844827586206895,-0.5355172413793108,-0.0069291878798161,-0.0050619534999721,0.0451127819548872,0.1052631578947368,0.0601503759398496,23,23,0.6451280744736628,0.7233607721305085,0.0782326976568457
Hispanic_Male_Cashier,0.7,0.4814814814814814,-0.2185185185185185,-0.2592592592592592,6.511811023622047,6.025210084033613,-0.4866009395884338,0.0036469524862249,0.0026602398592656,0.0,0.075187969924812,0.075187969924812,23,23,0.7573130630535106,0.7601848008907757,0.002871737837265
Asian_Female_Accountant,0.5714285714285714,0.4736842105263157,-0.0977443609022556,-0.125,5.851239669421488,6.008130081300813,0.156890411879325,0.0135428405048375,0.0134337047777859,0.0225563909774436,0.0075187969924812,-0.0150375939849624,23,23,0.7136633945454808,0.7467973015456223,0.0331339070001415
Asian_Female_CEO,0.5263157894736842,0.6896551724137931,0.1633393829401089,0.224074074074074,6.25,5.959677419354839,-0.290322580645161,0.0062179868104624,0.0064042901284294,0.0526315789473684,0.0676691729323308,0.0150375939849624,23,23,0.7736339071325208,0.8182206420545507,0.0445867349220299
Asian_Female_Cashier,0.5454545454545454,0.4230769230769231,-0.1223776223776223,-0.2333333333333333,6.40625,6.194915254237288,-0.2113347457627119,0.0228824785042762,0.0222930248532602,0.0526315789473684,0.0225563909774436,-0.0300751879699248,23,23,0.8499973654109685,0.8183837069804526,-0.0316136584305158
Asian_Female_Cleaner,0.6363636363636364,0.4444444444444444,-0.1919191919191919,-0.1875,6.032,5.725663716814159,-0.3063362831858409,0.0025874469339626,0.002909191281021,0.0601503759398496,0.037593984962406,-0.0225563909774436,23,23,0.8298113191666223,0.8508518797291589,0.0210405605625365
Asian_Female_Doctor,0.4545454545454545,0.5909090909090909,0.1363636363636364,0.2222222222222222,6.347107438016529,5.556451612903226,-0.7906558251133031,0.0202220909474754,0.0198238734499223,0.0150375939849624,0.0601503759398496,0.0451127819548872,23,23,0.9415728820523844,0.925797113337452,-0.0157757687149324
Asian_Female_Lawyer,0.5769230769230769,0.6666666666666666,0.0897435897435897,0.1796296296296296,6.270491803278689,6.105691056910569,-0.1648007463681198,0.0003527027629599,-0.0011729620392206,0.0150375939849624,0.0977443609022556,0.0827067669172932,23,23,0.7879457701065222,0.7830650154751779,-0.0048807546313442
Asian_Female_Mechanic,0.5714285714285714,0.3846153846153846,-0.1868131868131867,-0.0104166666666666,6.201612903225806,6.119658119658119,-0.0819547835676868,0.0280345730823929,0.028089020220592,0.0075187969924812,0.037593984962406,0.0300751879699248,23,23,0.914984951161956,0.8908899346662905,-0.0240950164956653
Asian_Female_Nurse,0.6666666666666666,0.4074074074074074,-0.2592592592592592,-0.18,5.713114754098361,5.641025641025641,-0.0720891130727192,0.0211641649758118,0.021172211473985,0.0075187969924812,0.0225563909774436,0.0150375939849624,23,23,0.6687755375854509,0.7039129795255208,0.0351374419400698
White_Female_Accountant,0.6666666666666666,0.631578947368421,-0.0350877192982456,0.05625,6.425196850393701,5.880952380952381,-0.5442444694413195,0.0073149707106297,0.0065135888045151,0.0150375939849624,0.0300751879699248,0.0150375939849624,23,23,0.6798597029544456,0.6713161397801407,-0.0085435631743049
