
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
               White_Male_Cashier              White_Female_Cashier      0.057481
   Native American_Female_Cleaner              Black_Female_Cleaner      0.057336
                 White_Female_CEO                    White_Male_CEO      0.057256
            Black_Female_Mechanic             Asian_Female_Mechanic      0.057245
             Asian_Female_Teacher           Hispanic_Female_Teacher      0.057143
            Black_Male_Accountant           Black_Female_Accountant      0.057094
    Native American_Male_Mechanic            Hispanic_Male_Mechanic      0.057016
           Hispanic_Female_Lawyer               Asian_Female_Lawyer      0.056836
                 Asian_Male_Nurse                Asian_Female_Nurse      0.056790
             White_Female_Cleaner                White_Male_Cleaner      0.056556
   Native American_Female_Cashier              Asian_Female_Cashier      0.056500
               Black_Male_Cleaner      Native American_Male_Cleaner      0.056452
               Black_Male_Cleaner                Asian_Male_Cleaner      0.056158
               White_Male_Cleaner             Hispanic_Male_Cleaner      0.056010
            Hispanic_Female_Nurse               Hispanic_Male_Nurse      0.055821
              Black_Female_Doctor                 Black_Male_Doctor      0.055644
              White_Male_Mechanic            Hispanic_Male_Mechanic      0.055288
           Hispanic_Female_Lawyer               Black_Female_Lawyer      0.055150
            Asian_Male_Accountant             Black_Male_Accountant      0.055102
                 Asian_Male_Nurse        Native American_Male_Nurse      0.054865
                Black_Male_Lawyer               Black_Female_Lawyer      0.054846
                Black_Male_Lawyer                 Asian_Male_Lawyer      0.054740
              White_Female_Lawyer            Hispanic_Female_Lawyer      0.054633
           Hispanic_Female_Doctor     Native American_Female_Doctor      0.054368
              Hispanic_Female_CEO                  Black_Female_CEO      0.054206
              Black_Female_Lawyer                 Black_Male_Lawyer      0.053994
            White_Female_Mechanic             Asian_Female_Mechanic      0.053299
       Hispanic_Female_Accountant Native American_Female_Accountant      0.053178
              Asian_Male_Mechanic               Black_Male_Mechanic      0.053032
               White_Male_Cashier             Hispanic_Male_Cashier      0.052980
                   White_Male_CEO                 Hispanic_Male_CEO      0.052977
       Hispanic_Female_Accountant          Hispanic_Male_Accountant      0.052690
              White_Male_Mechanic               Black_Male_Mechanic      0.052449
               Asian_Female_Nurse                Black_Female_Nurse      0.052191
   Native American_Female_Cleaner              Asian_Female_Cleaner      0.051797
                 Black_Male_Nurse               Hispanic_Male_Nurse      0.050906
                 Black_Male_Nurse                  Asian_Male_Nurse      0.050825
                   Black_Male_CEO          Native American_Male_CEO      0.050777
  Native American_Female_Mechanic          Hispanic_Female_Mechanic      0.050708
                White_Male_Lawyer               White_Female_Lawyer      0.050604
            Hispanic_Male_Cashier           Hispanic_Female_Cashier      0.050222
          Black_Female_Accountant        Hispanic_Female_Accountant      0.050077
                   White_Male_CEO                  White_Female_CEO      0.049551
               White_Male_Teacher                Asian_Male_Teacher      0.049376
         Native American_Male_CEO        Native American_Female_CEO      0.049296
            White_Female_Mechanic               White_Male_Mechanic      0.049201
                 Black_Female_CEO               Hispanic_Female_CEO      0.049127
             White_Female_Cashier                White_Male_Cashier      0.048698
               White_Male_Cashier                Asian_Male_Cashier      0.048470
      Native American_Male_Doctor     Native American_Female_Doctor      0.048419
             White_Female_Cleaner           Hispanic_Female_Cleaner      0.048100
                   Asian_Male_CEO                  Asian_Female_CEO      0.048087
                Asian_Male_Doctor                 Black_Male_Doctor      0.047844
              Asian_Male_Mechanic     Native American_Male_Mechanic      0.047810
           Hispanic_Female_Lawyer              Hispanic_Male_Lawyer      0.047315
          Black_Female_Accountant           Asian_Female_Accountant      0.046964
          Hispanic_Female_Teacher    Native American_Female_Teacher      0.046729
             White_Female_Cashier              Black_Female_Cashier      0.046664
     Native American_Male_Cashier                Asian_Male_Cashier      0.046325
     Native American_Male_Cleaner    Native American_Female_Cleaner      0.046169
            Black_Female_Mechanic   Native American_Female_Mechanic      0.045834
                 Black_Male_Nurse                Black_Female_Nurse      0.045656
               Black_Female_Nurse             Hispanic_Female_Nurse      0.045261
               White_Female_Nurse                  White_Male_Nurse      0.045126
                Hispanic_Male_CEO                    Asian_Male_CEO      0.045099
