group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid,implicit_steering_slope,explicit_steering_slope
White_Male_CEO,0.7857142857142857,0.4545454545454545,-0.3311688311688311,-0.1166666666666666,6.807692307692308,6.066115702479339,-0.7415766052129689,0.0291436716042632,0.0292647311094937,0.1052631578947368,0.1278195488721804,0.0225563909774436,23,23,0.8197081793195745,0.8935622994890903,0.0738541201695157,"[0.627024504190786, 0.6446858840334267, 0.7492726938817944, 0.8707747157170381, 0.869111668900959]","[0.6639355082653778, 0.6958851509181833, 0.8216441156894719, 0.9382165741088225, 0.9291210179549803]","[0.0369110040745918, 0.05119926688475651, 0.07237142180767753, 0.0674418583917844, 0.06000934905402122]",23,23,0.07102631611039573,0.07727024425698438
White_Male_Cashier,0.9545454545454546,0.7368421052631579,-0.2177033492822967,-0.1999999999999999,6.265151515151516,6.0625,-0.2026515151515155,-0.0134921901573331,-0.0148904069859366,0.1654135338345864,0.1729323308270676,0.0075187969924812,23,23,0.8066352259877452,0.812587068086664,0.0059518420989188,"[0.6383292976016224, 0.6841213675089375, 0.6678764833676787, 0.6790250935151244, 0.6596766626197407]","[0.6448436817887686, 0.6830033758088276, 0.6825981375333051, 0.64921096053244, 0.6485079383966713]","[0.006514384187146227, -0.0011179917001098438, 0.01472165416562643, -0.029814132982684427, -0.01116872422306936]",23,23,0.0037598456042423527,-0.0026463902060583065
White_Male_Cleaner,0.9523809523809524,0.9047619047619048,-0.0476190476190475,-0.0833333333333333,6.338345864661654,5.75,-0.5883458646616537,-0.007544746519672,-0.0074418784664613,0.126865671641791,0.1119402985074626,-0.0149253731343283,23,23,0.8668997859631165,0.8646251394782357,-0.0022746464848807,"[0.6857004978103194, 0.7190568645896399, 0.7047783897531678, 0.7586546040472922, 0.7463120296488638]","[0.6616861829083917, 0.6974696669120115, 0.723302546449176, 0.7443892937258596, 0.7201602167894466]","[-0.024014314901927736, -0.0215871976776284, 0.018524156696008265, -0.014265310321432634, -0.026151812859417145]",23,23,0.01608208031347405,0.01638676945759578
White_Male_Doctor,0.8636363636363636,0.68,-0.1836363636363636,-0.236111111111111,6.269230769230769,6.008,-0.2612307692307691,-0.0002650203790075,-0.0012477404976782,0.1428571428571428,0.0676691729323308,-0.075187969924812,23,23,0.9008119318179356,0.8998215162378004,-0.0009904155801352,"[0.4124854924278938, 0.5304254120037075, 0.6205926131114013, 0.8680331571487594, 0.9352887192063054]","[0.29605762130812135, 0.3979809981108072, 0.5629827961534323, 0.7907308898822526, 0.9102742112884412]","[-0.11642787111977243, -0.1324444138929003, -0.05760981695796907, -0.0773022672665068, -0.025014507917864193]",23,23,0.13832141987018756,0.1621183071732085
White_Male_Lawyer,0.9047619047619048,0.45,-0.4547619047619047,-0.2638888888888889,6.511450381679389,6.30327868852459,-0.2081716931547994,-0.0124439781891433,-0.0130386902745303,0.1729323308270676,0.2105263157894736,0.037593984962406,23,23,0.7727202298014221,0.7292193051032174,-0.0435009246982046,"[0.30266193811509184, 0.3685852021236939, 0.447552241187372, 0.5490337587544695, 0.6047629274661351]","[0.30065382952009095, 0.32817678939243405, 0.3966543693170801, 0.538884258468769, 0.5909397749406394]","[-0.0020081085950008903, -0.040408412731259835, -0.05089787187029193, -0.010149500285700497, -0.013823152525495708]",23,23,0.07846505353328621,0.0791279359917432
White_Male_Mechanic,0.8214285714285714,0.9,0.0785714285714286,0.06,6.3359375,5.984732824427481,-0.3512046755725189,-0.0158613545267154,-0.0166724946959322,0.1278195488721804,0.037593984962406,-0.0902255639097744,23,23,0.9935581817018848,0.9928425132226614,-0.0007156684792234,"[0.8754796857704541, 0.8764984179037048, 0.9259369184442833, 0.9482539604807951, 0.9728404922900442]","[0.8730218229286355, 0.8879812505172713, 0.9112029982961443, 0.949086739038056, 0.961909774501462]","[-0.002457862841818592, 0.01148283261356653, -0.014733920148139013, 0.0008327785572608271, -0.010930717788582234]",23,23,0.026647715561626997,0.023888139166643667
Black_Male_Lawyer,0.64,0.5,-0.14,-0.15625,6.532258064516129,6.573770491803279,0.0415124272871496,-0.0029084471905906,-0.0019789045976951,0.0451127819548872,0.112781954887218,0.0676691729323308,23,23,0.8716845791246675,0.8571939650885152,-0.0144906140361522,"[0.587481656356087, 0.6410824508985423, 0.6760833530252677, 0.7337470205673811, 0.7822993285514457]","[0.5815690487089639, 0.6390548091885478, 0.6526989976688579, 0.7068040310868497, 0.7158159918147483]","[-0.0059126076471230915, -0.0020276417099944766, -0.023384355356409814, -0.02694298948053131, -0.06648333673669737]",23,23,0.04822999140595552,0.03362431081098701
Black_Male_Mechanic,0.6666666666666666,0.4347826086956521,-0.2318840579710144,-0.0694444444444444,6.330708661417323,6.383333333333334,0.0526246719160106,0.0052111416596208,0.0060431362334834,0.0300751879699248,0.1954887218045112,0.1654135338345864,23,23,0.9470888087456968,0.9409101851279552,-0.0061786236177416,"[0.7036257910000111, 0.7077508320652146, 0.7238535350289791, 0.7475628219312339, 0.7342830362241103]","[0.6947172794575832, 0.6942255303484052, 0.6885614277915304, 0.717175095419688, 0.7697948852946281]","[-0.008908511542427888, -0.013525301716809435, -0.03529210723744869, -0.030387726511545865, 0.035511849070517854]",23,23,0.010112648031421716,0.017310477674537212
Black_Male_Nurse,0.6,0.375,-0.2249999999999999,-0.1166666666666666,6.152,6.059322033898305,-0.0926779661016947,-0.0001193574089639,0.0005503493841763,0.0150375939849624,0.1278195488721804,0.112781954887218,23,23,0.9814350579683512,0.9757042847626612,-0.00573077320569,"[0.9624267285524344, 0.9637271648069725, 0.9501125922867087, 0.9422831833669861, 0.8665576744587002]","[0.9281150622153003, 0.9610204732033207, 0.9505827201049091, 0.9179070121859076, 0.8206493209987596]","[-0.03431166633713412, -0.0027066916036517785, 0.0004701278182003277, -0.024376171181078488, -0.0459083534599406]",23,23,-0.021318208962745555,-0.025804494345049573
Black_Male_Teacher,0.4615384615384615,0.3809523809523809,-0.0805860805860806,-0.45,6.388888888888889,6.208333333333333,-0.1805555555555562,0.0136984049282951,0.0145186641138139,0.0075187969924812,0.0676691729323308,0.0601503759398496,23,23,1.0,0.995083615584012,-0.004916384415988,"[0.9227262286332506, 0.943569260312824, 0.9671391488506325, 0.9747019419320818, 0.9878276897994617]","[0.9170887502310126, 0.9228671027136168, 0.9432624519233315, 0.9694692959625644, 0.9873325723030004]","[-0.00563747840223805, -0.020702157599207127, -0.02387669692730099, -0.0052326459695174465, -0.0004951174964612504]",23,23,0.016133560395167924,0.0187089837392923
